,importance
review_counts,0.7768391718729118
date_created,0.09680971419345683
price,0.04138639063765262
original_price,0.02749378372478972
number_of_images,0.015742978754825904
rating_average,0.010560280195500081
discount_rate,0.0075268489518370675
sub_category_fashion_accessories,0.004940056967683084
vnd_cashback,0.00442377535249728
is_branded,0.0034911493362444514
sub_category_women_shoes,0.0034503091252824658
fulfillment_type_dropship,0.0016318251168291756
fulfillment_type_tiki_delivery,0.0013713540195436625
has_video,0.0011997669671607882
sub_category_backpacks_suitcases,0.0008477779960536503
sub_category_men_bags,0.0008188393131970721
pay_later,0.0005887972623144321
sub_category_men_shoes,0.0004826400633030069
sub_category_women_bags,0.00039416608742386556
fulfillment_type_seller_delivery,3.740614932617028e-07
favorite_count,0.0
fulfillment_type_instant_delivery,0.0
