,importance
review_counts,0.3864993
fulfillment_type_tiki_delivery,0.08041029
date_created,0.064241216
sub_category_men_bags,0.055165228
fulfillment_type_dropship,0.04966789
price,0.04593307
sub_category_women_shoes,0.04588117
original_price,0.037266742
is_branded,0.037205834
rating_average,0.035567865
discount_rate,0.02927913
number_of_images,0.0260723
sub_category_backpacks_suitcases,0.021898393
pay_later,0.018446302
sub_category_fashion_accessories,0.017538544
sub_category_men_shoes,0.014961601
vnd_cashback,0.013207052
has_video,0.011573735
sub_category_women_bags,0.009184344
favorite_count,0.0
fulfillment_type_instant_delivery,0.0
fulfillment_type_seller_delivery,0.0
